koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,is_exoplanet
1.465943491,1.513,52.3,1.6,2472.0,8804.6,6230.0,3.847,2.19,FALSE POSITIVE,0
362.22202,14.29,52.5,0.96,312.0,2.25,6113.0,4.168,1.277,CANDIDATE,0
3.2136904,2.205,55.8,1.22,1591.0,1515.7,6184.0,4.151,1.579,FALSE POSITIVE,0
9.467821474,2.4327,2237.0,2.13,407.0,6.47,3582.0,4.807,0.458,CONFIRMED,1
20.55331441,5.3136,678.3,3.19,749.0,74.49,6325.0,4.409,1.112,CONFIRMED,1
15.67750191,5.5082,115.5,1.42,810.0,101.79,6003.0,4.303,1.109,CONFIRMED,1
10.692115,4.657,408.4,2.71,1008.0,244.47,6474.0,4.311,1.242,CONFIRMED,1
45.163025,7.03,130.3,2.35,886.0,145.48,7675.0,4.051,2.015,CANDIDATE,0
5.42586901,2.5342,259.0,1.48,973.0,211.66,5594.0,4.489,0.934,CONFIRMED,1
47.3329299,2.708,931.5,2.18,386.0,5.25,4987.0,4.602,0.716,CONFIRMED,1
30.6528935,4.99,269.7,2.86,780.0,87.69,6200.0,4.072,1.64,CONFIRMED,1
1.538180949,1.2635,841.0,1.0,602.0,30.85,3364.0,4.978,0.274,CONFIRMED,1
370.31761,12.588,1885.0,2.98,182.0,0.26,4665.0,4.584,0.701,CANDIDATE,0
101.1323475,4.366,1502.9,3.87,380.0,4.91,5492.0,4.389,1.016,CONFIRMED,1
1.74610057,1.299,54.2,1.24,1689.0,1924.75,4854.0,3.939,1.749,CANDIDATE,0
9.034190783,1.5501,577.6,1.8,586.0,27.87,4499.0,4.635,0.639,CONFIRMED,1
9.27989,3.33,164.3,1.29,897.0,152.86,6052.0,4.456,0.967,FALSE POSITIVE,0
10.78438513,1.408,233.6,75.04,1397.0,900.7,5575.0,3.516,3.515,FALSE POSITIVE,0
234.240739,12.925,464.1,3.41,329.0,2.77,5814.0,4.269,1.248,CONFIRMED,1
16.2951259,3.678,197.9,1.15,574.0,25.59,4915.0,4.512,0.812,CONFIRMED,1
4.74254518,1.023,305.7,1.77,1118.0,369.34,6046.0,4.478,1.007,FALSE POSITIVE,0
39.2820405,3.344,157.5,58.67,823.0,108.22,6143.0,3.81,2.136,FALSE POSITIVE,0
5.65178922,3.0933,134.1,2.03,1248.0,574.71,6085.0,4.218,1.463,CONFIRMED,1
91.500873,4.842,704.8,1.82,310.0,2.18,5051.0,4.628,0.706,CONFIRMED,1
3.54789928,2.861,185.3,0.99,987.0,224.45,5399.0,4.619,0.725,FALSE POSITIVE,0
84.704139,10.393,655.7,4.17,537.0,19.59,6085.0,4.115,1.634,CONFIRMED,1
42.89645024,5.6897,555.3,2.0,448.0,9.54,5192.0,4.489,0.873,CONFIRMED,1
0.933157032,2.614,87.8,7.29,2202.0,5565.35,6499.0,4.378,1.169,FALSE POSITIVE,0
13.23352214,6.7372,504.6,3.06,888.0,146.67,5739.0,4.191,1.384,CONFIRMED,1
4.264729569,2.2075,22672.0,29.95,1428.0,983.86,6052.0,4.084,1.417,FALSE POSITIVE,0
3.58273837,1.523,360.5,1.64,1064.0,302.74,5448.0,4.517,0.872,CONFIRMED,1
67.6690554,9.556,961.1,3.39,495.0,14.24,6127.0,4.356,1.08,CONFIRMED,1
1.758599866,0.2729,237.8,1.6,1101.0,347.1,4744.0,4.606,0.725,CANDIDATE,0
7.61758198,3.545,85.4,1.0,1020.0,255.32,6202.0,4.401,1.072,CONFIRMED,1
1.79621807,10.16,47.0,1.54,2480.0,8937.14,7117.0,3.988,2.09,FALSE POSITIVE,0
53.5292702,5.668,1086.1,2.28,348.0,3.48,4736.0,4.624,0.708,CONFIRMED,1
1.547426532,16.1346,532.9,3.62,1973.0,3587.69,6612.0,4.303,1.264,FALSE POSITIVE,0
1.92730001,18.812,6177.1,45.99,1614.0,1605.97,6057.0,4.352,1.11,FALSE POSITIVE,0
0.971915957,1.6023,73.7,0.79,1609.0,1591.27,5196.0,4.458,0.889,CONFIRMED,1
3.85690686,2.0808,127.8,0.93,972.0,210.44,5272.0,4.574,0.813,CONFIRMED,1
4.90144976,4.1654,140.7,1.7,1262.0,598.74,5847.0,4.191,1.402,CONFIRMED,1
1.93155546,1.614,504.9,2.25,1290.0,655.43,5461.0,4.552,0.858,CONFIRMED,1
17.2922631,7.042,203.1,2.13,809.0,101.22,5936.0,4.261,1.299,CONFIRMED,1
1.23513471,5.44,42.8,0.7,1743.0,2172.96,5930.0,4.436,0.997,FALSE POSITIVE,0
4.431238488,3.15,1010.9,3.25,1104.0,351.23,5714.0,4.428,1.015,CONFIRMED,1
29.6193891,4.9595,314.7,1.74,580.0,26.79,5618.0,4.401,0.996,CONFIRMED,1
0.51872711,1.252,714.1,19.07,1965.0,3537.27,5572.0,4.597,0.762,FALSE POSITIVE,0
19.5352551,1.013,1732.0,0.53,161.0,0.16,2703.0,5.274,0.118,CONFIRMED,1
3.008602107,4.34296,120272.0,56.15,1343.0,768.47,6033.0,4.398,1.026,FALSE POSITIVE,0
98.353149,24.708,423.0,4.13,552.0,21.96,6366.0,4.045,1.697,CONFIRMED,1
0.962864171,1.6802,303.5,1.52,1666.0,1828.67,5704.0,4.575,0.804,CONFIRMED,1
5.72812616,2.0295,643.4,1.38,569.0,24.74,3968.0,4.714,0.548,CONFIRMED,1
3.92453009,3.691,463.5,1.82,1074.0,314.25,5776.0,4.554,0.849,CONFIRMED,1
30.2541186,2.134,576.3,2.8,660.0,44.87,6277.0,4.402,1.161,CONFIRMED,1
64.0019669,4.724,1112.5,2.48,322.0,2.55,4652.0,4.617,0.697,CONFIRMED,1
40.877841988,9.88456,256094.0,164.06,915.0,166.06,6807.0,3.848,2.59,FALSE POSITIVE,0
13.13747785,4.8655,212.8,1.85,825.0,109.68,5762.0,4.314,1.143,CONFIRMED,1
177.37583,21.14,459.7,1.96,314.0,2.29,5849.0,4.517,0.919,CANDIDATE,0
39.3135699,5.0137,500.1,2.07,540.0,20.04,6060.0,4.509,0.925,CONFIRMED,1
11.56722589,2.507,373.7,1.29,568.0,24.64,4597.0,4.59,0.691,CANDIDATE,0
376.934014,4.28,382.4,2.13,274.0,1.33,6074.0,4.369,1.034,CANDIDATE,0
2.7200197,1.874,869.0,1.53,713.0,61.08,3939.0,4.735,0.527,CANDIDATE,0
612.882452,2.024,631.0,2.42,217.0,0.53,6029.0,4.494,0.956,FALSE POSITIVE,0
6.56226483,4.0144,260.8,3.07,1290.0,654.67,5878.0,4.005,1.812,CONFIRMED,1
1.941635737,2.46683,69814.1,59.71,1728.0,2109.03,6525.0,4.381,1.161,FALSE POSITIVE,0
0.94754848,1.7347,11348.0,224.79,622.0,35.37,3246.0,5.087,0.2,FALSE POSITIVE,0
6.79164656,3.343,102.6,1.01,994.0,230.81,5772.0,4.351,1.003,CONFIRMED,1
119.686505,29.33,842.7,23.0,341.0,3.21,5715.0,4.537,0.834,FALSE POSITIVE,0
346.36642,14.94,148.2,1.57,314.0,2.3,6327.0,4.276,1.259,FALSE POSITIVE,0
0.755101141,3.371,76.7,0.19,680.0,50.92,3256.0,5.071,0.207,FALSE POSITIVE,0
623.70774,6.688,250.9,1.81,258.0,1.05,6626.0,4.347,1.132,CANDIDATE,0
4.36273233,2.2375,341.6,1.76,1023.0,258.7,5527.0,4.491,0.88,CONFIRMED,1
3.341913228,3.813,725.3,21.55,1032.0,268.67,5295.0,4.551,0.811,FALSE POSITIVE,0
8.77997349,3.2201,755.7,2.12,713.0,61.24,5191.0,4.597,0.764,CONFIRMED,1
415.748785,3.313,463.7,3.24,283.0,1.51,5324.0,4.027,1.534,CANDIDATE,0
21.6817115,7.18,73.5,0.89,713.0,60.99,6297.0,4.448,1.031,FALSE POSITIVE,0
102.493119,2.814,636.1,2.7,317.0,2.37,5166.0,4.583,0.791,CANDIDATE,0
1.682695938,1.3867,703.8,1.23,750.0,74.7,3669.0,4.787,0.47,CONFIRMED,1
1.540399732,1.63,57.6,0.58,1312.0,700.19,5160.0,4.518,0.784,FALSE POSITIVE,0
0.533628226,5.772,81.8,2.41,3885.0,53849.23,7163.0,3.906,2.177,FALSE POSITIVE,0
1.433339604,1.3665,305.2,2.08,1677.0,1873.33,6077.0,4.471,0.999,FALSE POSITIVE,0
1.89125855,5.415,67.9,0.81,1671.0,1839.74,6569.0,4.41,0.927,FALSE POSITIVE,0
8.1280933,3.727,224.1,1.39,875.0,138.51,5831.0,4.517,0.921,CONFIRMED,1
11.12827427,2.6118,6057.0,4.04,408.0,6.52,3640.0,4.744,0.503,CONFIRMED,1
7.38443269,5.7351,349.8,2.42,1042.0,278.67,5814.0,4.269,1.248,CONFIRMED,1
3.629442796,5.63,426.6,3.28,1434.0,1001.35,6506.0,4.336,1.217,FALSE POSITIVE,0
23.66834635,5.8297,449.4,2.32,668.0,47.11,5979.0,4.394,1.005,CONFIRMED,1
3.177414601,1.5262,1134.3,2.65,997.0,233.26,5303.0,4.63,0.708,CONFIRMED,1
11.37936986,2.6255,1023.5,3.95,806.0,99.68,5714.0,4.428,1.015,CONFIRMED,1
2.845739012,11.9327,24391.8,44.7,1294.0,663.42,5982.0,4.493,0.96,FALSE POSITIVE,0
322.221973,7.531,465.6,2.18,277.0,1.4,6026.0,4.437,1.006,CANDIDATE,0
4.128795314,2.771,154870.0,52.0,1244.0,565.91,5949.0,4.311,1.083,FALSE POSITIVE,0
7.363572395,5.7545,129696.0,82.22,1287.0,649.25,6793.0,4.208,1.508,FALSE POSITIVE,0
147.388124,8.781,909.2,3.03,356.0,3.78,6046.0,4.478,1.007,CANDIDATE,0
3.036208739,0.9324,1820.5,1.4,520.0,17.31,3464.0,4.923,0.328,CONFIRMED,1
1.039046871,1.689,24.4,0.48,1774.0,2348.45,5689.0,4.422,0.976,FALSE POSITIVE,0
94.67782,2.215,287.0,1.46,353.0,3.67,5360.0,4.503,0.866,CANDIDATE,0
21.86965714,5.5177,125.5,1.51,790.0,92.0,6214.0,4.238,1.297,CONFIRMED,1
549.42772,6.09,719.1,2.64,223.0,0.58,5957.0,4.498,0.971,CANDIDATE,0
0.584310213,2.1801,809.4,23.09,2053.0,4190.91,5783.0,4.539,0.88,FALSE POSITIVE,0
